Date,accumulated_deaths
12.01.20,
13.01.20,
14.01.20,
15.01.20,
16.01.20,
17.01.20,
18.01.20,
19.01.20,
20.01.20,
21.01.20,
22.01.20,0
23.01.20,0
24.01.20,0
25.01.20,0
26.01.20,0
27.01.20,0
28.01.20,0
29.01.20,0
30.01.20,0
31.01.20,0
01.02.20,0
02.02.20,0
03.02.20,0
04.02.20,0
05.02.20,0
06.02.20,0
07.02.20,0
08.02.20,0
09.02.20,0
10.02.20,0
11.02.20,0
12.02.20,0
13.02.20,0
14.02.20,0
15.02.20,0
16.02.20,0
17.02.20,0
18.02.20,0
19.02.20,0
20.02.20,0
21.02.20,0
22.02.20,0
23.02.20,0
24.02.20,0
25.02.20,0
26.02.20,0
27.02.20,0
28.02.20,0
29.02.20,0
01.03.20,0
02.03.20,0
03.03.20,0
04.03.20,0
05.03.20,1
06.03.20,1
07.03.20,1
08.03.20,2
09.03.20,2
10.03.20,3
11.03.20,4
12.03.20,4
13.03.20,11
14.03.20,13
15.03.20,14
16.03.20,14
17.03.20,27
18.03.20,28
19.03.20,41
20.03.20,54
21.03.20,75
22.03.20,98
23.03.20,120
24.03.20,122
25.03.20,153
26.03.20,191
27.03.20,231
28.03.20,264
29.03.20,300
30.03.20,359
31.03.20,433
01.04.20,488
02.04.20,536
03.04.20,591
04.04.20,666